NZ_AP013028.1	1	1382	+	chromosomal replication initiator protein DnaA	WP_041044912.1	202	FF8AD8	DnaA
NZ_AP013028.1	943995	945002	-	LD-carboxypeptidase	WP_041046127.1	894	f3f3f3	-1
NZ_AP013028.1	945002	945619	-	lipoyl(octanoyl) transferase LipB	WP_041046129.1	513	f3f3f3	-1
NZ_AP013028.1	946133	947317	+	phage portal protein	WP_041046131.1	1021	f3f3f3	-1
NZ_AP013028.1	947406	947872	+	ankyrin repeat domain-containing protein	WP_041046133.1	-1	f3f3f3	-1
NZ_AP013028.1	947873	948118	+	hypothetical protein	WP_041046135.1	-1	f3f3f3	-1
NZ_AP013028.1	948249	949397	+	DNA polymerase III subunit beta	WP_041046137.1	400	f3f3f3	-1
NZ_AP013028.1	949399	950136	-	tRNA pseudouridine(38-40) synthase TruA	WP_041046139.1	195	f3f3f3	-1
NZ_AP013028.1	951628	952224	+	riboflavin synthase	WP_041046143.1	567	f3f3f3	-1
NZ_AP013028.1	952281	952871	+	CvpA family protein	WP_041046145.1	775	f3f3f3	-1
NZ_AP013028.1	952881	953573	-	hypothetical protein	WP_052463273.1	-1	f3f3f3	-1
NZ_AP013028.1	954462	954674	-	hypothetical protein	WP_041046151.1	-1	f3f3f3	-1
NZ_AP013028.1	954957	955406	+	SsrA-binding protein SmpB	WP_041046155.1	297	f3f3f3	-1
NZ_AP013028.1	955413	956201	+	prolipoprotein diacylglyceryl transferase	WP_041046157.1	221	f3f3f3	-1
NZ_AP013028.1	957275	957646	+	ankyrin repeat domain-containing protein	WP_084221194.1	2	f3f3f3	-1
NZ_AP013028.1	957803	958048	+	hypothetical protein	WP_145971864.1	-1	f3f3f3	-1
NZ_AP013028.1	958472	958736	-	type II toxin-antitoxin system RelE/ParE family toxin	WP_041046162.1	47	f3f3f3	-1
NZ_AP013028.1	958737	958937	-	hypothetical protein	WP_041046722.1	-1	f3f3f3	-1
NZ_AP013028.1	959212	960675	+	Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatA	WP_041046163.1	600	f3f3f3	-1
NZ_AP013028.1	960692	961621	-	permease	WP_041046164.1	978	f3f3f3	-1
NZ_AP013028.1	961981	963246	-	beta-ketoacyl-ACP synthase II	WP_041046165.1	256	f3f3f3	-1
NZ_AP013028.1	963253	963519	-	acyl carrier protein	WP_041046166.1	380	f3f3f3	-1
NZ_AP013028.1	963671	964463	+	polyprenyl synthetase family protein	WP_041046167.1	544	f3f3f3	-1
NZ_AP013028.1	964464	965363	+	peptidylprolyl isomerase	WP_041046169.1	967	f3f3f3	-1
NZ_AP013028.1	965376	966872	-	cation:proton antiporter	WP_041046723.1	667	f3f3f3	-1
NZ_AP013028.1	967118	968026	+	Rpn family recombination-promoting nuclease/putative transposase	WP_041046171.1	17	f3f3f3	-1
NZ_AP013028.1	968476	968703	-	hypothetical protein	WP_041046173.1	-1	f3f3f3	-1
NZ_AP013028.1	968708	969424	-	hypothetical protein	WP_041046175.1	-1	f3f3f3	-1
NZ_AP013028.1	972919	973419	-	NADH-quinone oxidoreductase subunit NuoE	WP_041046177.1	510	f3f3f3	-1
NZ_AP013028.1	973886	974389	-	hypothetical protein	WP_084221195.1	-1	f3f3f3	-1
NZ_AP013028.1	975504	975689	-	hypothetical protein	WP_041046180.1	-1	f3f3f3	-1
NZ_AP013028.1	975915	977888	+	hypothetical protein	WP_052463275.1	-1	f3f3f3	-1
NZ_AP013028.1	978382	979191	-	hypothetical protein	WP_052463277.1	-1	f3f3f3	-1
NZ_AP013028.1	980328	981611	+	amino acid permease	WP_041046181.1	59	f3f3f3	-1
NZ_AP013028.1	981693	982964	+	amino acid permease	WP_041046726.1	59	f3f3f3	-1
NZ_AP013028.1	983126	984646	+	bifunctional phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase	WP_041046184.1	555	f3f3f3	-1
NZ_AP013028.1	986150	987079	-	4-hydroxy-3-methylbut-2-enyl diphosphate reductase	WP_041046188.1	461	f3f3f3	-1
NZ_AP013028.1	987100	988653	+	penicillin-binding protein 2	WP_041046190.1	640	f3f3f3	-1
NZ_AP013028.1	988657	989004	-	hypothetical protein	WP_041046192.1	-1	f3f3f3	-1
NZ_AP013028.1	990163	990642	+	bacterioferritin	WP_041046194.1	933	f3f3f3	-1
NZ_AP013028.1	990644	991258	+	SURF1 family protein	WP_041046196.1	746	f3f3f3	-1
NZ_AP013028.1	991307	993025	-	potassium transporter	WP_041046198.1	70	f3f3f3	-1
NZ_AP013028.1	993031	993603	-	thioredoxin family protein	WP_041046200.1	1007	f3f3f3	-1
NZ_AP013028.1	993718	994320	+	dTMP kinase	WP_041046727.1	341	f3f3f3	-1
NZ_AP013028.1	996409	996591	+	hypothetical protein	WP_041046202.1	-1	f3f3f3	-1
NZ_AP013028.1	997782	999359	-	lysine--tRNA ligase	WP_041046204.1	702	f3f3f3	-1
NZ_AP013028.1	999425	999721	+	type IV secretion system protein VirB3	WP_041046206.1	710	f3f3f3	-1
NZ_AP013028.1	999731	1002128	+	VirB4 family type IV secretion/conjugal transfer ATPase	WP_041046208.1	766	f3f3f3	-1
NZ_AP013028.1	1002129	1004651	+	conjugal transfer protein TraH	WP_041046210.1	473	f3f3f3	-1
NZ_AP013028.1	1004720	1007109	+	type IV secretion system protein	WP_041046212.1	-1	f3f3f3	-1
NZ_AP013028.1	1007110	1010244	+	conjugal transfer protein TrbL	WP_041046214.1	554	f3f3f3	-1
NZ_AP013028.1	1010316	1013496	+	conjugal transfer protein	WP_041046216.1	985	f3f3f3	-1
NZ_AP013028.1	1013497	1014117	+	hypothetical protein	WP_041046218.1	-1	f3f3f3	-1
NZ_AP013028.1	1014841	1015623	+	type I methionyl aminopeptidase	WP_084221211.1	254	f3f3f3	-1
NZ_AP013028.1	1015827	1016282	-	hypothetical protein	WP_041046222.1	-1	f3f3f3	-1
NZ_AP013028.1	1016422	1017477	+	aspartate-semialdehyde dehydrogenase	WP_041046224.1	225	f3f3f3	-1
NZ_AP013028.1	1019540	1022458	-	glutamate synthase subunit beta	WP_041046226.1	752	f3f3f3	-1
NZ_AP013028.1	1022504	1022944	-	3-hydroxyacyl-ACP dehydratase FabZ	WP_041046228.1	234	f3f3f3	-1
NZ_AP013028.1	1022963	1023538	-	OmpH family outer membrane protein	WP_041046230.1	769	f3f3f3	-1
NZ_AP013028.1	1023539	1025878	-	outer membrane protein assembly factor BamA	WP_041046728.1	204	f3f3f3	-1
NZ_AP013028.1	1025886	1027004	-	RIP metalloprotease RseP	WP_041046729.1	332	f3f3f3	-1
NZ_AP013028.1	1027102	1027377	+	succinate dehydrogenase assembly factor 2	WP_041046232.1	729	f3f3f3	-1
NZ_AP013028.1	1028467	1029343	+	GTPase Era	WP_041046234.1	184	f3f3f3	-1
NZ_AP013028.1	1029344	1030162	+	3'-5' exonuclease	WP_041046236.1	968	f3f3f3	-1
NZ_AP013028.1	1032425	1033237	-	exodeoxyribonuclease III	WP_052463286.1	118	f3f3f3	-1
NZ_AP013028.1	1033237	1033944	-	uroporphyrinogen-III synthase	WP_041046238.1	1019	f3f3f3	-1
NZ_AP013028.1	1034120	1035301	+	cation:dicarboxylase symporter family transporter	WP_145971865.1	-1	f3f3f3	-1
NZ_AP013028.1	1035924	1036184	+	IS5 family transposase	WP_145971866.1	-1	f3f3f3	-1
NZ_AP013028.1	1036791	1037706	+	ribose-phosphate diphosphokinase	WP_041046242.1	587	f3f3f3	-1
NZ_AP013028.1	1037707	1038060	+	Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatC	WP_041046244.1	680	f3f3f3	-1
NZ_AP013028.1	1038397	1039632	+	tRNA (N(6)-L-threonylcarbamoyladenosine(37)-C(2))-methylthiotransferase MtaB	WP_041046246.1	936	f3f3f3	-1
NZ_AP013028.1	1039652	1040443	+	P44/Msp2 family outer membrane protein	WP_041046731.1	435	f3f3f3	-1
NZ_AP013028.1	1040444	1041955	-	secretion system protein	WP_041046248.1	-1	f3f3f3	-1
NZ_AP013028.1	1042495	1042755	-	IS5 family transposase	WP_145971835.1	-1	f3f3f3	-1
NZ_AP013028.1	1043355	1043615	+	IS5 family transposase	WP_145971835.1	-1	f3f3f3	-1
NZ_AP013028.1	1044192	1044754	+	hypothetical protein	WP_041046250.1	-1	f3f3f3	-1
NZ_AP013028.1	1044755	1045687	-	4-hydroxy-tetrahydrodipicolinate synthase	WP_041046252.1	649	f3f3f3	-1
NZ_AP013028.1	1045697	1046179	-	single-stranded DNA-binding protein	WP_041046254.1	296	f3f3f3	-1
NZ_AP013028.1	1046327	1047142	-	hypothetical protein	WP_041046732.1	1011	f3f3f3	-1
NZ_AP013028.1	1049497	1050713	-	hypothetical protein	WP_041046256.1	990	f3f3f3	-1
NZ_AP013028.1	1050714	1051437	-	hypothetical protein	WP_041046258.1	1006	f3f3f3	-1
NZ_AP013028.1	1051438	1052667	-	lipoprotein-releasing ABC transporter permease subunit	WP_041046260.1	127	f3f3f3	-1
NZ_AP013028.1	1053346	1054776	+	Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatB	WP_041046733.1	576	f3f3f3	-1
NZ_AP013028.1	1054825	1056240	-	transcription termination factor Rho	WP_041046262.1	112	f3f3f3	-1
NZ_AP013028.1	1056441	1057028	-	DUF1013 domain-containing protein	WP_041046264.1	679	f3f3f3	-1
NZ_AP013028.1	1057204	1057392	-	hypothetical protein	WP_041046266.1	-1	f3f3f3	-1
NZ_AP013028.1	1057884	1058621	+	hypothetical protein	WP_041046268.1	-1	f3f3f3	-1
NZ_AP013028.1	1058693	1059700	+	tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex transferase subunit TsaD	WP_041046270.1	218	f3f3f3	-1
NZ_AP013028.1	1059876	1061618	+	type I secretion system permease/ATPase	WP_041046272.1	678	f3f3f3	-1
NZ_AP013028.1	1061652	1063031	-	phosphomannomutase/phosphoglucomutase	WP_041046734.1	608	f3f3f3	-1
NZ_AP013028.1	1063134	1065017	+	hypothetical protein	WP_041046274.1	956	f3f3f3	-1
NZ_AP013028.1	1065538	1066764	+	bifunctional 2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase/2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase	WP_041046276.1	488	f3f3f3	-1
NZ_AP013028.1	1067094	1067609	+	gamma carbonic anhydrase family protein	WP_041046278.1	467	f3f3f3	-1
NZ_AP013028.1	1067624	1068568	-	Rpn family recombination-promoting nuclease/putative transposase	WP_041046280.1	17	f3f3f3	-1
NZ_AP013028.1	1068656	1069390	-	hypothetical protein	WP_052463294.1	-1	f3f3f3	-1
NZ_AP013028.1	1069495	1070004	-	hypothetical protein	WP_041046282.1	-1	f3f3f3	-1
NZ_AP013028.1	1070149	1072629	+	valine--tRNA ligase	WP_041046284.1	368	f3f3f3	-1
NZ_AP013028.1	1072713	1073588	+	hypothetical protein	WP_145971867.1	-1	f3f3f3	-1
NZ_AP013028.1	1073724	1074404	+	orotidine-5'-phosphate decarboxylase	WP_041046286.1	451	f3f3f3	-1
NZ_AP013028.1	1074691	1074951	+	IS5 family transposase	WP_145971824.1	-1	f3f3f3	-1
NZ_AP013028.1	1075505	1077199	+	tetratricopeptide repeat protein	WP_052463297.1	1572	f3f3f3	-1
NZ_AP013028.1	1077275	1078447	-	2-oxoglutarate dehydrogenase complex dihydrolipoyllysine-residue succinyltransferase	WP_041046288.1	550	f3f3f3	-1
NZ_AP013028.1	1079685	1080503	+	kinase/pyrophosphorylase	WP_041046291.1	592	f3f3f3	-1
NZ_AP013028.1	1080573	1080701	+	50S ribosomal protein L36	WP_084221196.1	481	f3f3f3	-1
NZ_AP013028.1	1080903	1081217	+	septum formation initiator family protein	WP_041046738.1	1568	f3f3f3	-1
NZ_AP013028.1	1081278	1081928	+	dioxygenase	WP_041046739.1	778	f3f3f3	-1
NZ_AP013028.1	1082007	1083527	+	leucyl aminopeptidase	WP_052463345.1	268	f3f3f3	-1
NZ_AP013028.1	1084704	1085396	+	isoprenoid biosynthesis glyoxalase ElbB	WP_041046740.1	704	f3f3f3	-1
NZ_AP013028.1	1085409	1085720	+	hypothetical protein	WP_145971868.1	-1	f3f3f3	-1
NZ_AP013028.1	1085757	1086347	-	guanylate kinase	WP_041046741.1	303	f3f3f3	-1
NZ_AP013028.1	1086388	1088171	-	hypothetical protein	WP_041046295.1	462	f3f3f3	-1
NZ_AP013028.1	1088172	1089419	-	ankyrin repeat domain-containing protein	WP_041046297.1	691	f3f3f3	-1
NZ_AP013028.1	1089786	1090301	-	inorganic diphosphatase	WP_041046299.1	570	f3f3f3	-1
NZ_AP013028.1	1090398	1090914	-	demethoxyubiquinone hydroxylase family protein	WP_041046301.1	692	f3f3f3	-1
NZ_AP013028.1	1090915	1091391	-	disulfide bond formation protein B	WP_041046303.1	707	f3f3f3	-1
NZ_AP013028.1	1091443	1092843	-	ribosome biogenesis GTPase Der	WP_041046306.1	340	f3f3f3	-1
NZ_AP013028.1	1093213	1093539	+	hypothetical protein	WP_041046308.1	-1	f3f3f3	-1
NZ_AP013028.1	1094040	1094300	-	IS5 family transposase	WP_145971869.1	-1	f3f3f3	-1
NZ_AP013028.1	1094321	1094638	+	hypothetical protein	WP_145971870.1	-1	f3f3f3	-1
NZ_AP013028.1	1095028	1095672	+	hypothetical protein	WP_041046312.1	-1	f3f3f3	-1
NZ_AP013028.1	1095909	1097606	+	arginine--tRNA ligase	WP_041046314.1	239	f3f3f3	-1
NZ_AP013028.1	1097660	1097995	+	hypothetical protein	WP_041046742.1	2	f3f3f3	-1
NZ_AP013028.1	1098532	1098792	-	IS5 family transposase	WP_145971871.1	-1	f3f3f3	-1
NZ_AP013028.1	1098883	1099428	+	ankyrin repeat domain-containing protein	WP_084221197.1	2	f3f3f3	-1
NZ_AP013028.1	1099468	1100754	-	sodium:proton antiporter	WP_041046316.1	945	f3f3f3	-1
NZ_AP013028.1	1100947	1101603	+	ankyrin repeat domain-containing protein	WP_084221198.1	2	f3f3f3	-1
NZ_AP013028.1	1102416	1103147	-	site-specific DNA-methyltransferase	WP_084221181.1	921	f3f3f3	-1
NZ_AP013028.1	1103973	1104899	+	Rpn family recombination-promoting nuclease/putative transposase	WP_052463306.1	17	f3f3f3	-1
NZ_AP013028.1	1106368	1107344	-	Holliday junction branch migration DNA helicase RuvB	WP_041046322.1	174	f3f3f3	-1
NZ_AP013028.1	1107345	1107926	-	Holliday junction branch migration protein RuvA	WP_041046324.1	407	f3f3f3	-1
NZ_AP013028.1	1108054	1108728	-	septal ring lytic transglycosylase RlpA family protein	WP_041046326.1	1366	f3f3f3	-1
NZ_AP013028.1	1108755	1110293	+	UDP-N-acetylmuramate--L-alanine ligase	WP_041046328.1	619	f3f3f3	-1
NZ_AP013028.1	1110295	1111559	+	phosphopyruvate hydratase	WP_041046330.1	586	f3f3f3	-1
NZ_AP013028.1	1111560	1112582	+	GTPase ObgE	WP_041046332.1	262	f3f3f3	-1
NZ_AP013028.1	1113454	1113753	-	ETC complex I subunit	WP_041046334.1	1012	f3f3f3	-1
NZ_AP013028.1	1113906	1114550	+	prolyl oligopeptidase family serine peptidase	WP_041046747.1	458	f3f3f3	-1
NZ_AP013028.1	1114556	1115368	+	SDR family oxidoreductase	WP_041046336.1	1403	f3f3f3	-1
NZ_AP013028.1	1115474	1115545	+	hypothetical protein	WP_084221212.1	1589	f3f3f3	-1
NZ_AP013028.1	1115797	1116507	-	hypothetical protein	WP_041046338.1	1593	f3f3f3	-1
NZ_AP013028.1	1116652	1117518	+	tRNA pseudouridine(55) synthase TruB	WP_084221199.1	170	f3f3f3	-1
NZ_AP013028.1	1117531	1117803	+	30S ribosomal protein S15	WP_041046340.1	386	f3f3f3	-1
NZ_AP013028.1	1117818	1120085	+	polyribonucleotide nucleotidyltransferase	WP_041046342.1	252	f3f3f3	-1
NZ_AP013028.1	1120556	1121236	-	ribulose-phosphate 3-epimerase	WP_041046344.1	447	f3f3f3	-1
NZ_AP013028.1	1121996	1122490	-	RDD family protein	WP_041046346.1	984	f3f3f3	-1
NZ_AP013028.1	1122490	1123128	-	HAD-IA family hydrolase	WP_041046348.1	585	f3f3f3	-1
NZ_AP013028.1	1124761	1127220	-	endopeptidase La	WP_041046350.1	125	f3f3f3	-1
NZ_AP013028.1	1127242	1128516	-	ATP-dependent Clp protease ATP-binding subunit ClpX	WP_041046352.1	196	f3f3f3	-1
NZ_AP013028.1	1128516	1129142	-	ATP-dependent Clp endopeptidase proteolytic subunit ClpP	WP_041046354.1	325	f3f3f3	-1
NZ_AP013028.1	1129154	1130497	-	trigger factor	WP_041046356.1	266	f3f3f3	-1
NZ_AP013028.1	1130908	1131504	+	BON domain-containing protein	WP_041046358.1	304	f3f3f3	-1
NZ_AP013028.1	1131553	1132469	+	glutathione synthase	WP_041046360.1	745	f3f3f3	-1
NZ_AP013028.1	1132470	1133501	-	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase	WP_041046749.1	634	f3f3f3	-1
NZ_AP013028.1	1133594	1133974	+	hypothetical protein	WP_041046362.1	-1	f3f3f3	-1
NZ_AP013028.1	1133976	1135361	-	dihydrolipoyl dehydrogenase	WP_041046364.1	37	f3f3f3	-1
NZ_AP013028.1	1136020	1137672	+	30S ribosomal protein S1	WP_041046366.1	397	f3f3f3	-1
NZ_AP013028.1	1137695	1137973	+	integration host factor subunit beta	WP_041046368.1	673	f3f3f3	-1
NZ_AP013028.1	1138243	1138515	+	IS5 family transposase	WP_041046370.1	446	f3f3f3	-1
NZ_AP013028.1	1139393	1139896	+	IS5 family transposase	WP_041044928.1	662	f3f3f3	-1
NZ_AP013028.1	1140123	1141154	-	Fe(3+) ABC transporter substrate-binding protein	WP_041046376.1	1020	f3f3f3	-1
NZ_AP013028.1	1143178	1143972	-	NAD kinase	WP_041046378.1	247	f3f3f3	-1
NZ_AP013028.1	1143997	1144209	-	50S ribosomal protein L31	WP_041046380.1	1018	f3f3f3	-1
NZ_AP013028.1	1144338	1145318	+	ACP S-malonyltransferase	WP_041046382.1	214	f3f3f3	-1
NZ_AP013028.1	1145383	1146144	+	hypothetical protein	WP_041046750.1	-1	f3f3f3	-1
NZ_AP013028.1	1146167	1147672	-	2,3-bisphosphoglycerate-independent phosphoglycerate mutase	WP_041046384.1	483	f3f3f3	-1
NZ_AP013028.1	1149263	1150021	+	ankyrin repeat domain-containing protein	WP_041046388.1	2	f3f3f3	-1
NZ_AP013028.1	1150029	1150214	+	hypothetical protein	WP_145971872.1	-1	f3f3f3	-1
NZ_AP013028.1	1151036	1151695	+	CADD family putative folate metabolism protein	WP_041046392.1	1581	f3f3f3	-1
NZ_AP013028.1	1151788	1152201	+	dihydroneopterin aldolase	WP_041046394.1	1579	f3f3f3	-1
NZ_AP013028.1	1152201	1153495	+	dihydropteroate synthase	WP_041046396.1	385	f3f3f3	-1
NZ_AP013028.1	1153496	1153979	+	dihydrofolate reductase	WP_041046398.1	804	f3f3f3	-1
NZ_AP013028.1	1153980	1154723	+	putative folate metabolism gamma-glutamate ligase	WP_041046400.1	-1	f3f3f3	-1
NZ_AP013028.1	1155955	1156215	-	IS5 family transposase	WP_145971824.1	-1	f3f3f3	-1
NZ_AP013028.1	1157721	1159109	-	amidophosphoribosyltransferase	WP_041046402.1	545	f3f3f3	-1
NZ_AP013028.1	1161049	1161565	+	Na+/H+ antiporter subunit E	WP_041046405.1	715	f3f3f3	-1
NZ_AP013028.1	1161566	1161982	-	hypothetical protein	WP_041046406.1	1008	f3f3f3	-1
NZ_AP013028.1	1162258	1162812	+	phosphoribosylglycinamide formyltransferase	WP_041046407.1	162	f3f3f3	-1
NZ_AP013028.1	1162813	1164115	-	insulinase family protein	WP_041046408.1	721	f3f3f3	-1
NZ_AP013028.1	1164116	1165456	-	insulinase family protein	WP_041046409.1	677	f3f3f3	-1
NZ_AP013028.1	1165495	1165967	-	signal peptidase II	WP_041046411.1	292	f3f3f3	-1
NZ_AP013028.1	1165968	1166900	-	riboflavin biosynthesis protein RibF	WP_041046413.1	493	f3f3f3	-1
NZ_AP013028.1	1166968	1167336	+	glutaredoxin	WP_041046415.1	357	f3f3f3	-1
NZ_AP013028.1	1167453	1168325	+	hypothetical protein	WP_041046417.1	969	f3f3f3	-1
NZ_AP013028.1	1168374	1168883	-	DNA-3-methyladenine glycosylase	WP_041046752.1	1567	f3f3f3	-1
NZ_AP013028.1	1169571	1169831	-	IS5 family transposase	WP_145971873.1	-1	f3f3f3	-1
NZ_AP013028.1	1170543	1171001	-	ankyrin repeat domain-containing protein	WP_145971874.1	-1	f3f3f3	-1
NZ_AP013028.1	1171097	1173547	-	type I DNA topoisomerase	WP_041046419.1	312	f3f3f3	-1
NZ_AP013028.1	1173800	1175605	-	peptidylprolyl isomerase	WP_041046421.1	76	f3f3f3	-1
NZ_AP013028.1	1175721	1176680	-	tRNA dihydrouridine synthase DusB	WP_041046754.1	228	f3f3f3	-1
NZ_AP013028.1	1176688	1177620	-	hypothetical protein	WP_145971875.1	-1	f3f3f3	-1
NZ_AP013028.1	1178632	1178703	+	hypothetical protein	WP_145971887.1	-1	f3f3f3	-1
NZ_AP013028.1	1178836	1180113	+	serine--tRNA ligase	WP_041046755.1	230	f3f3f3	-1
NZ_AP013028.1	1180149	1181420	+	phosphoribosylamine--glycine ligase	WP_041046425.1	560	f3f3f3	-1
NZ_AP013028.1	1181484	1182050	+	hypothetical protein	WP_041046427.1	-1	f3f3f3	-1
NZ_AP013028.1	1182145	1183707	+	glutamine-hydrolyzing GMP synthase	WP_041046429.1	563	f3f3f3	-1
NZ_AP013028.1	1186036	1186641	-	recombination protein RecR	WP_041046430.1	161	f3f3f3	-1
NZ_AP013028.1	1186831	1187160	+	hypothetical protein	WP_041046431.1	-1	f3f3f3	-1
NZ_AP013028.1	1188075	1188536	+	hypothetical protein	WP_145971876.1	-1	f3f3f3	-1
NZ_AP013028.1	1188660	1189760	-	tryptophan--tRNA ligase	WP_084221200.1	194	f3f3f3	-1
NZ_AP013028.1	1190144	1190704	-	nucleotide exchange factor GrpE	WP_041046436.1	319	f3f3f3	-1
NZ_AP013028.1	1190766	1191752	-	polyprenyl synthetase family protein	WP_041046437.1	213	f3f3f3	-1
NZ_AP013028.1	1191763	1192095	-	30S ribosomal protein S16	WP_041046439.1	219	f3f3f3	-1
NZ_AP013028.1	1192680	1193047	-	holo-[acyl-carrier-protein] synthase	WP_041046441.1	271	f3f3f3	-1
NZ_AP013028.1	1193048	1194325	-	proline--tRNA ligase	WP_041046443.1	402	f3f3f3	-1
NZ_AP013028.1	1194420	1195820	-	hypothetical protein	WP_052463318.1	-1	f3f3f3	-1
NZ_AP013028.1	1195943	1197496	-	penicillin-binding protein	WP_041046445.1	651	f3f3f3	-1
NZ_AP013028.1	1198283	1199329	+	hypothetical protein	WP_145971877.1	-1	f3f3f3	-1
NZ_AP013028.1	1199977	1201053	-	rod shape-determining protein	WP_041046449.1	274	f3f3f3	-1
NZ_AP013028.1	1201074	1202501	-	carboxypeptidase	WP_041046451.1	736	f3f3f3	-1
NZ_AP013028.1	1202776	1203255	+	OmpA family protein	WP_041046760.1	343	f3f3f3	-1
NZ_AP013028.1	1203447	1204742	+	tRNA lysidine(34) synthetase TilS	WP_041046453.1	108	f3f3f3	-1
NZ_AP013028.1	1204755	1206584	+	ATP-dependent metallopeptidase FtsH/Yme1/Tma family protein	WP_041046455.1	342	f3f3f3	-1
NZ_AP013028.1	1207695	1208456	-	hypothetical protein	WP_041046457.1	1553	f3f3f3	-1
NZ_AP013028.1	1208804	1209064	+	IS5 family transposase	WP_145971835.1	-1	f3f3f3	-1
NZ_AP013028.1	1211007	1213650	+	preprotein translocase subunit SecA	WP_041046459.1	215	f3f3f3	-1
NZ_AP013028.1	1213651	1214214	-	hypothetical protein	WP_145971878.1	-1	f3f3f3	-1
NZ_AP013028.1	1214797	1215636	-	hypothetical protein	WP_145971879.1	-1	f3f3f3	-1
NZ_AP013028.1	1215725	1216720	-	ribonucleotide-diphosphate reductase subunit beta	WP_041046461.1	107	f3f3f3	-1
NZ_AP013028.1	1216854	1217192	+	outer membrane protein assembly factor BamE	WP_041046463.1	538	f3f3f3	-1
NZ_AP013028.1	1217783	1219117	+	tRNA (N6-isopentenyl adenosine(37)-C2)-methylthiotransferase MiaB	WP_041046465.1	328	f3f3f3	-1
NZ_AP013028.1	1219166	1222543	+	isoleucine--tRNA ligase	WP_041046762.1	322	f3f3f3	-1
NZ_AP013028.1	1222602	1222985	+	hypothetical protein	WP_041046467.1	-1	f3f3f3	-1
NZ_AP013028.1	1224347	1224574	+	hypothetical protein	WP_145971880.1	-1	f3f3f3	-1
NZ_AP013028.1	1224659	1226347	+	hypothetical protein	WP_052463322.1	-1	f3f3f3	-1
NZ_AP013028.1	1226351	1229002	-	alanine--tRNA ligase	WP_041046473.1	346	f3f3f3	-1
NZ_AP013028.1	1229195	1230244	+	hypothetical protein	WP_041046475.1	-1	f3f3f3	-1
NZ_AP013028.1	1231399	1234815	+	DNA polymerase III subunit alpha	WP_041046477.1	280	f3f3f3	-1
NZ_AP013028.1	1234864	1235637	+	30S ribosomal protein S6	WP_041046479.1	181	f3f3f3	-1
NZ_AP013028.1	1235637	1235912	+	30S ribosomal protein S18	WP_041046481.1	310	f3f3f3	-1
NZ_AP013028.1	1235920	1236405	+	50S ribosomal protein L9	WP_041046765.1	245	f3f3f3	-1
NZ_AP013028.1	1237007	1238545	+	hypothetical protein	WP_052463324.1	-1	f3f3f3	-1
NZ_AP013028.1	1238791	1238994	+	hypothetical protein	WP_041046483.1	-1	f3f3f3	-1
NZ_AP013028.1	1239031	1240887	+	hypothetical protein	WP_041046485.1	-1	f3f3f3	-1
NZ_AP013028.1	1241656	1242664	-	NADH-quinone oxidoreductase subunit NuoH	WP_041046489.1	561	f3f3f3	-1
NZ_AP013028.1	1242665	1244713	-	NADH-quinone oxidoreductase subunit G	WP_041046491.1	519	f3f3f3	-1
NZ_AP013028.1	1244727	1244936	-	hypothetical protein	WP_041046493.1	773	f3f3f3	-1
NZ_AP013028.1	1245969	1247276	+	adenylosuccinate synthase	WP_041046767.1	582	f3f3f3	-1
NZ_AP013028.1	1247809	1248093	+	hypothetical protein	WP_145971881.1	-1	f3f3f3	-1
NZ_AP013028.1	1248145	1248666	+	hypothetical protein	WP_052463328.1	956	f3f3f3	-1
NZ_AP013028.1	1249018	1249746	-	glutamine synthetase	WP_041046497.1	465	f3f3f3	-1
